author,epub_link,html_link,img_link,title,book_id
"Dostoyevsky, Fyodor, 1821-1881",https://www.gutenberg.org/ebooks/600.epub,https://www.gutenberg.org/files/600/600-h/600-h.htm,,Notes from the Underground by Fyodor Dostoyevsky,600
"Engels, Friedrich, 1820-1895",https://www.gutenberg.org/ebooks/61.html.n,https://www.gutenberg.org/ebooks/61.html.images,,The Communist Manifesto by Friedrich Engels and Karl Marx,61
"Sinclair, Upton, 1878-1968",https://www.gutenberg.org/ebooks/140.epub,https://www.gutenberg.org/files/140/140-h/140-h.htm,,The Jungle by Upton Sinclair,140
"Stowe, Harriet Beecher, 1811-1896",https://www.gutenberg.org/ebooks/203.epub,https://www.gutenberg.org/files/203/203-h/203-h.htm,,Uncle Tom's Cabin by Harriet Beecher Stowe,203
"Poe, Edgar Allan, 1809-1849",https://www.gutenberg.org/ebooks/2148.epub,https://www.gutenberg.org/files/2148/2148-h/2148-h.htm,,The Works of Edgar Allan Poe — Volume 2 by Edgar Allan Poe,2148
"Defoe, Daniel, 1661?-1731",https://www.gutenberg.org/ebooks/521.epub,https://www.gutenberg.org/files/521/521-h/521-h.htm,,The Life and Adventures of Robinson Crusoe by Daniel Defoe,521
"Hawthorne, Nathaniel, 1804-1864",https://www.gutenberg.org/ebooks/33.html.n,https://www.gutenberg.org/ebooks/33.html.images,,The Scarlet Letter by Nathaniel Hawthorne,33
"James, Henry, 1843-1916",https://www.gutenberg.org/ebooks/209.epub,https://www.gutenberg.org/files/209/209-h/209-h.htm,,The Turn of the Screw by Henry James,209
"Pigafetta, Antonio, 1480?-1534?",https://www.gutenberg.org/ebooks/42884.epub,https://www.gutenberg.org/files/42884/42884-h/42884-h.htm,https://www.gutenberg.org/cache/epub/42884/pg42884.cover.medium.jpg,"The Philippine Islands, 1493-1898, Volume 33, 1519-1522 by Antonio Pigafetta",42884
"Hawthorne, Nathaniel, 1804-1864",https://www.gutenberg.org/ebooks/25344.epub,https://www.gutenberg.org/files/25344/25344-h/25344-h.htm,,The Scarlet Letter by Nathaniel Hawthorne,25344
"Austen, Jane, 1775-1817",https://www.gutenberg.org/ebooks/161.epub,https://www.gutenberg.org/files/161/161-h/161-h.htm,,Sense and Sensibility by Jane Austen,161
"Irving, Washington, 1783-1859",https://www.gutenberg.org/ebooks/41.epub,https://www.gutenberg.org/files/41/41-h/41-h.htm,,The Legend of Sleepy Hollow by Washington Irving,41
"Rowlandson, Mary White, 1635?-1711",https://www.gutenberg.org/ebooks/851.epub,https://www.gutenberg.org/files/851/851-h/851-h.htm,,Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson by Rowlandson,851
"Nietzsche, Friedrich Wilhelm, 1844-1900",https://www.gutenberg.org/ebooks/1998.epub,https://www.gutenberg.org/files/1998/1998-h/1998-h.htm,,Thus Spake Zarathustra: A Book for All and None by Friedrich Wilhelm Nietzsche,1998
"Carroll, Lewis, 1832-1898",https://www.gutenberg.org/ebooks/28885.epub,https://www.gutenberg.org/files/28885/28885-h/28885-h.htm,https://www.gutenberg.org/cache/epub/28885/pg28885.cover.medium.jpg,Alice's Adventures in Wonderland by Lewis Carroll,28885
"Wells, H. G. (Herbert George), 1866-1946",https://www.gutenberg.org/ebooks/36.epub,https://www.gutenberg.org/files/36/36-h/36-h.htm,,The War of the Worlds by H. G. Wells,36
"Nietzsche, Friedrich Wilhelm, 1844-1900",https://www.gutenberg.org/ebooks/4363.epub,https://www.gutenberg.org/files/4363/4363-h/4363-h.htm,,Beyond Good and Evil by Friedrich Wilhelm Nietzsche,4363
"Poe, Edgar Allan, 1809-1849",https://www.gutenberg.org/ebooks/2147.epub,https://www.gutenberg.org/files/2147/2147-h/2147-h.htm,,The Works of Edgar Allan Poe — Volume 1 by Edgar Allan Poe,2147
"Joyce, James, 1882-1941",https://www.gutenberg.org/ebooks/2814.epub,https://www.gutenberg.org/files/2814/2814-h/2814-h.htm,https://www.gutenberg.org/cache/epub/2814/pg2814.cover.medium.jpg,Dubliners by James Joyce,2814
"Hobbes, Thomas, 1588-1679",https://www.gutenberg.org/ebooks/3207.epub,https://www.gutenberg.org/files/3207/3207-h/3207-h.htm,,Leviathan by Thomas Hobbes,3207
"Montgomery, L. M. (Lucy Maud), 1874-1942",https://www.gutenberg.org/ebooks/45.epub,https://www.gutenberg.org/files/45/45-h/45-h.htm,,Anne of Green Gables by L. M. Montgomery,45
